"CubeId";"amarbma"
"PublishingDate";"2023-03-21 09:00"

"Date";"D0";"Value"
"1950-03";"E";"2213492"
"1950-04";"K";
"1950-04";"T0";"9222"
"1950-04";"S0";
"1950-04";"T1";"0.41662676"
"1950-04";"S1";
"1950-04";"T2";"4497"
"1950-04";"S2";
"1950-04";"RS";
"1950-04";"E";"2213492"
"1950-05";"K";
"1950-05";"T0";"5880"
"1950-05";"S0";
"1950-05";"T1";"0.26564361"
"1950-05";"S1";
"1950-05";"T2";"4385"
"1950-05";"S2";
"1950-05";"RS";
"1950-05";"E";"2213492"
"1950-06";"K";
"1950-06";"T0";"4393"
"1950-06";"S0";
"1950-06";"T1";"0.19846469"
"1950-06";"S1";
"1950-06";"T2";"4483"
"1950-06";"S2";
"1950-06";"RS";
"1950-06";"E";"2213492"
"1950-07";"K";
"1950-07";"T0";"3522"
"1950-07";"S0";
"1950-07";"T1";"0.1591151"
"1950-07";"S1";
"1950-07";"T2";"3996"
"1950-07";"S2";
"1950-07";"RS";
"1950-07";"E";"2213492"
"1950-08";"K";
"1950-08";"T0";"3091"
"1950-08";"S0";
"1950-08";"T1";"0.1396436"
"1950-08";"S1";
"1950-08";"T2";"4520"
"1950-08";"S2";
"1950-08";"RS";
"1950-08";"E";"2213492"
"1950-09";"K";
"1950-09";"T0";"2797"
"1950-09";"S0";
"1950-09";"T1";"0.12636142"
"1950-09";"S1";
"1950-09";"T2";"5053"
"1950-09";"S2";
"1950-09";"RS";
"1950-09";"E";"2213492"
"1950-10";"K";
"1950-10";"T0";"3232"
"1950-10";"S0";
"1950-10";"T1";"0.14601363"
"1950-10";"S1";
"1950-10";"T2";"4462"
"1950-10";"S2";
"1950-10";"RS";
"1950-10";"E";"2213492"
"1950-11";"K";
"1950-11";"T0";"6219"
"1950-11";"S0";
"1950-11";"T1";"0.28095877"
"1950-11";"S1";
"1950-11";"T2";"3692"
"1950-11";"S2";
"1950-11";"RS";
"1950-11";"E";"2213492"
"1950-12";"K";
"1950-12";"T0";"15376"
"1950-12";"S0";
"1950-12";"T1";"0.694649"
"1950-12";"S1";
"1950-12";"T2";"2561"
"1950-12";"S2";
"1950-12";"RS";
"1950-12";"E";"2213492"
"1951-01";"K";
"1951-01";"T0";"12473"
"1951-01";"S0";
"1951-01";"T1";"0.53145595"
"1951-01";"S1";
"1951-01";"T2";"4101"
"1951-01";"S2";
"1951-01";"RS";
"1951-01";"E";"2346949"
"1951-02";"K";
"1951-02";"T0";"7812"
"1951-02";"S0";
"1951-02";"T1";"0.33285768"
"1951-02";"S1";
"1951-02";"T2";"6042"
"1951-02";"S2";
"1951-02";"RS";
"1951-02";"E";"2346949"
"1951-03";"K";
"1951-03";"T0";"4397"
"1951-03";"S0";
"1951-03";"T1";"0.18734962"
"1951-03";"S1";
"1951-03";"T2";"6549"
"1951-03";"S2";
"1951-03";"RS";
"1951-03";"E";"2346949"
"1951-04";"K";
"1951-04";"T0";"1800"
"1951-04";"S0";
"1951-04";"T1";"0.07669532"
"1951-04";"S1";
"1951-04";"T2";"7266"
"1951-04";"S2";
"1951-04";"RS";
"1951-04";"E";"2346949"
"1951-05";"K";
"1951-05";"T0";"1501"
"1951-05";"S0";
"1951-05";"T1";"0.06395537"
"1951-05";"S1";
"1951-05";"T2";"6838"
"1951-05";"S2";
"1951-05";"RS";
"1951-05";"E";"2346949"
"1951-06";"K";
"1951-06";"T0";"1191"
"1951-06";"S0";
"1951-06";"T1";"0.05074674"
"1951-06";"S1";
"1951-06";"T2";"6348"
"1951-06";"S2";
"1951-06";"RS";
"1951-06";"E";"2346949"
"1951-07";"K";
"1951-07";"T0";"1159"
"1951-07";"S0";
"1951-07";"T1";"0.04938326"
"1951-07";"S1";
"1951-07";"T2";"5886"
"1951-07";"S2";
"1951-07";"RS";
"1951-07";"E";"2346949"
"1951-08";"K";
"1951-08";"T0";"1237"
"1951-08";"S0";
"1951-08";"T1";"0.05270673"
"1951-08";"S1";
"1951-08";"T2";"5358"
"1951-08";"S2";
"1951-08";"RS";
"1951-08";"E";"2346949"
"1951-09";"K";
"1951-09";"T0";"1384"
"1951-09";"S0";
"1951-09";"T1";"0.05897018"
"1951-09";"S1";
"1951-09";"T2";"5140"
"1951-09";"S2";
"1951-09";"RS";
"1951-09";"E";"2346949"
"1951-10";"K";
"1951-10";"T0";"1841"
"1951-10";"S0";
"1951-10";"T1";"0.07844227"
"1951-10";"S1";
"1951-10";"T2";"4690"
"1951-10";"S2";
"1951-10";"RS";
"1951-10";"E";"2346949"
"1951-11";"K";
"1951-11";"T0";"3301"
"1951-11";"S0";
"1951-11";"T1";"0.14065069"
"1951-11";"S1";
"1951-11";"T2";"3618"
"1951-11";"S2";
"1951-11";"RS";
"1951-11";"E";"2346949"
"1951-12";"K";
"1951-12";"T0";"7488"
"1951-12";"S0";
"1951-12";"T1";"0.31905252"
"1951-12";"S1";
"1951-12";"T2";"2988"
"1951-12";"S2";
"1951-12";"RS";
"1951-12";"E";"2346949"
"1952-01";"K";
"1952-01";"T0";"15643"
"1952-01";"S0";
"1952-01";"T1";"0.66652492"
"1952-01";"S1";
"1952-01";"T2";"3814"
"1952-01";"S2";
"1952-01";"RS";
"1952-01";"E";"2346949"
"1952-02";"K";
"1952-02";"T0";"12536"
"1952-02";"S0";
"1952-02";"T1";"0.53414028"
"1952-02";"S1";
"1952-02";"T2";"3852"
"1952-02";"S2";
"1952-02";"RS";
"1952-02";"E";"2346949"
"1952-03";"K";
"1952-03";"T0";"3828"
"1952-03";"S0";
"1952-03";"T1";"0.16310538"
"1952-03";"S1";
"1952-03";"T2";"6484"
"1952-03";"S2";
"1952-03";"RS";
"1952-03";"E";"2346949"
"1952-04";"K";
"1952-04";"T0";"2271"
"1952-04";"S0";
"1952-04";"T1";"0.09676393"
"1952-04";"S1";
"1952-04";"T2";"6243"
"1952-04";"S2";
"1952-04";"RS";
"1952-04";"E";"2346949"
"1952-05";"K";
"1952-05";"T0";"1711"
"1952-05";"S0";
"1952-05";"T1";"0.07290316"
"1952-05";"S1";
"1952-05";"T2";"5614"
"1952-05";"S2";
"1952-05";"RS";
"1952-05";"E";"2346949"
"1952-06";"K";
"1952-06";"T0";"1417"
"1952-06";"S0";
"1952-06";"T1";"0.06037626"
"1952-06";"S1";
"1952-06";"T2";"5186"
"1952-06";"S2";
"1952-06";"RS";
"1952-06";"E";"2346949"
"1952-07";"K";
"1952-07";"T0";"1451"
"1952-07";"S0";
"1952-07";"T1";"0.06182495"
"1952-07";"S1";
"1952-07";"T2";"4092"
"1952-07";"S2";
"1952-07";"RS";
"1952-07";"E";"2346949"
"1952-08";"K";
"1952-08";"T0";"1750"
"1952-08";"S0";
"1952-08";"T1";"0.07456489"
"1952-08";"S1";
"1952-08";"T2";"4020"
"1952-08";"S2";
"1952-08";"RS";
"1952-08";"E";"2346949"
"1952-09";"K";
"1952-09";"T0";"1918"
"1952-09";"S0";
"1952-09";"T1";"0.08172312"
"1952-09";"S1";
"1952-09";"T2";"3822"
"1952-09";"S2";
"1952-09";"RS";
"1952-09";"E";"2346949"
"1952-10";"K";
"1952-10";"T0";"3218"
"1952-10";"S0";
"1952-10";"T1";"0.13711419"
"1952-10";"S1";
"1952-10";"T2";"3445"
"1952-10";"S2";
"1952-10";"RS";
"1952-10";"E";"2346949"
"1952-11";"K";
"1952-11";"T0";"6295"
"1952-11";"S0";
"1952-11";"T1";"0.26822057"
"1952-11";"S1";
"1952-11";"T2";"2680"
"1952-11";"S2";
"1952-11";"RS";
"1952-11";"E";"2346949"
"1952-12";"K";
"1952-12";"T0";"11726"
"1952-12";"S0";
"1952-12";"T1";"0.49962739"
"1952-12";"S1";
"1952-12";"T2";"2286"
"1952-12";"S2";
"1952-12";"RS";
"1952-12";"E";"2346949"
"1953-01";"K";
"1953-01";"T0";"19335"
"1953-01";"S0";
"1953-01";"T1";"0.82383554"
"1953-01";"S1";
"1953-01";"T2";"3013"
"1953-01";"S2";
"1953-01";"RS";
"1953-01";"E";"2346949"
"1953-02";"K";
"1953-02";"T0";"11597"
"1953-02";"S0";
"1953-02";"T1";"0.49413089"
"1953-02";"S1";
"1953-02";"T2";"4064"
"1953-02";"S2";
"1953-02";"RS";
"1953-02";"E";"2346949"
"1953-03";"K";
"1953-03";"T0";"4154"
"1953-03";"S0";
"1953-03";"T1";"0.17699575"
"1953-03";"S1";
"1953-03";"T2";"5652"
"1953-03";"S2";
"1953-03";"RS";
"1953-03";"E";"2346949"
"1953-04";"K";
"1953-04";"T0";"2512"
"1953-04";"S0";
"1953-04";"T1";"0.10703258"
"1953-04";"S1";
"1953-04";"T2";"5328"
"1953-04";"S2";
"1953-04";"RS";
"1953-04";"E";"2346949"
"1953-05";"K";
"1953-05";"T0";"1937"
"1953-05";"S0";
"1953-05";"T1";"0.08253268"
"1953-05";"S1";
"1953-05";"T2";"4739"
"1953-05";"S2";
"1953-05";"RS";
"1953-05";"E";"2346949"
"1953-06";"K";
"1953-06";"T0";"2076"
"1953-06";"S0";
"1953-06";"T1";"0.08845527"
"1953-06";"S1";
"1953-06";"T2";"4936"
"1953-06";"S2";
"1953-06";"RS";
"1953-06";"E";"2346949"
"1953-07";"K";
"1953-07";"T0";"1579"
"1953-07";"S0";
"1953-07";"T1";"0.06727884"
"1953-07";"S1";
"1953-07";"T2";"4734"
"1953-07";"S2";
"1953-07";"RS";
"1953-07";"E";"2346949"
"1953-08";"K";
"1953-08";"T0";"1725"
"1953-08";"S0";
"1953-08";"T1";"0.07349968"
"1953-08";"S1";
"1953-08";"T2";"4452"
"1953-08";"S2";
"1953-08";"RS";
"1953-08";"E";"2346949"
"1953-09";"K";
"1953-09";"T0";"1911"
"1953-09";"S0";
"1953-09";"T1";"0.08142486"
"1953-09";"S1";
"1953-09";"T2";"4341"
"1953-09";"S2";
"1953-09";"RS";
"1953-09";"E";"2346949"
"1953-10";"K";
"1953-10";"T0";"2411"
"1953-10";"S0";
"1953-10";"T1";"0.10272912"
"1953-10";"S1";
"1953-10";"T2";"3652"
"1953-10";"S2";
"1953-10";"RS";
"1953-10";"E";"2346949"
"1953-11";"K";
"1953-11";"T0";"3591"
"1953-11";"S0";
"1953-11";"T1";"0.15300716"
"1953-11";"S1";
"1953-11";"T2";"2992"
"1953-11";"S2";
"1953-11";"RS";
"1953-11";"E";"2346949"
"1953-12";"K";
"1953-12";"T0";"7113"
"1953-12";"S0";
"1953-12";"T1";"0.30307433"
"1953-12";"S1";
"1953-12";"T2";"2694"
"1953-12";"S2";
"1953-12";"RS";
"1953-12";"E";"2346949"
"1954-01";"K";
"1954-01";"T0";"15890"
"1954-01";"S0";
"1954-01";"T1";"0.67704922"
"1954-01";"S1";
"1954-01";"T2";"3277"
"1954-01";"S2";
"1954-01";"RS";
"1954-01";"E";"2346949"
"1954-02";"K";
"1954-02";"T0";"10639"
"1954-02";"S0";
"1954-02";"T1";"0.45331194"
"1954-02";"S1";
"1954-02";"T2";"5002"
"1954-02";"S2";
"1954-02";"RS";
"1954-02";"E";"2346949"
"1954-03";"K";
"1954-03";"T0";"3499"
"1954-03";"S0";
"1954-03";"T1";"0.14908718"
"1954-03";"S1";
"1954-03";"T2";"6806"
"1954-03";"S2";
"1954-03";"RS";
"1954-03";"E";"2346949"
"1954-04";"K";
"1954-04";"T0";"2504"
"1954-04";"S0";
"1954-04";"T1";"0.10669171"
"1954-04";"S1";
"1954-04";"T2";"5554"
"1954-04";"S2";
"1954-04";"RS";
"1954-04";"E";"2346949"
"1954-05";"K";
"1954-05";"T0";"2195"
"1954-05";"S0";
"1954-05";"T1";"0.09352568"
"1954-05";"S1";
"1954-05";"T2";"5885"
"1954-05";"S2";
"1954-05";"RS";
"1954-05";"E";"2346949"
"1954-06";"K";
"1954-06";"T0";"1751"
"1954-06";"S0";
"1954-06";"T1";"0.0746075"
"1954-06";"S1";
"1954-06";"T2";"5684"
"1954-06";"S2";
"1954-06";"RS";
"1954-06";"E";"2346949"
"1954-07";"K";
"1954-07";"T0";"1342"
"1954-07";"S0";
"1954-07";"T1";"0.05718062"
"1954-07";"S1";
"1954-07";"T2";"5021"
"1954-07";"S2";
"1954-07";"RS";
"1954-07";"E";"2346949"
"1954-08";"K";
"1954-08";"T0";"1787"
"1954-08";"S0";
"1954-08";"T1";"0.07614141"
"1954-08";"S1";
"1954-08";"T2";"4949"
"1954-08";"S2";
"1954-08";"RS";
"1954-08";"E";"2346949"
"1954-09";"K";
"1954-09";"T0";"1630"
"1954-09";"S0";
"1954-09";"T1";"0.06945187"
"1954-09";"S1";
"1954-09";"T2";"5194"
"1954-09";"S2";
"1954-09";"RS";
"1954-09";"E";"2346949"
"1954-10";"K";
"1954-10";"T0";"1884"
"1954-10";"S0";
"1954-10";"T1";"0.08027443"
"1954-10";"S1";
"1954-10";"T2";"4519"
"1954-10";"S2";
"1954-10";"RS";
"1954-10";"E";"2346949"
"1954-11";"K";
"1954-11";"T0";"2703"
"1954-11";"S0";
"1954-11";"T1";"0.1151708"
"1954-11";"S1";
"1954-11";"T2";"3831"
"1954-11";"S2";
"1954-11";"RS";
"1954-11";"E";"2346949"
"1954-12";"K";
"1954-12";"T0";"6118"
"1954-12";"S0";
"1954-12";"T1";"0.26067886"
"1954-12";"S1";
"1954-12";"T2";"3541"
"1954-12";"S2";
"1954-12";"RS";
"1954-12";"E";"2346949"
"1955-01";"K";
"1955-01";"T0";"9576"
"1955-01";"S0";
"1955-01";"T1";"0.40801909"
"1955-01";"S1";
"1955-01";"T2";"4523"
"1955-01";"S2";
"1955-01";"RS";
"1955-01";"E";"2346949"
"1955-02";"K";
"1955-02";"T0";"8388"
"1955-02";"S0";
"1955-02";"T1";"0.35740018"
"1955-02";"S1";
"1955-02";"T2";"5430"
"1955-02";"S2";
"1955-02";"RS";
"1955-02";"E";"2346949"
"1955-03";"K";
"1955-03";"T0";"2866"
"1955-03";"S0";
"1955-03";"T1";"0.12211599"
"1955-03";"S1";
"1955-03";"T2";"7556"
"1955-03";"S2";
"1955-03";"RS";
"1955-03";"E";"2346949"
"1955-04";"K";
"1955-04";"T0";"1281"
"1955-04";"S0";
"1955-04";"T1";"0.0545815"
"1955-04";"S1";
"1955-04";"T2";"7649"
"1955-04";"S2";
"1955-04";"RS";
"1955-04";"E";"2346949"
"1955-05";"K";
"1955-05";"T0";"934"
"1955-05";"S0";
"1955-05";"T1";"0.03979635"
"1955-05";"S1";
"1955-05";"T2";"7245"
"1955-05";"S2";
"1955-05";"RS";
"1955-05";"E";"2346949"
"1955-06";"K";
"1955-06";"T0";"810"
"1955-06";"S0";
"1955-06";"T1";"0.03451289"
"1955-06";"S1";
"1955-06";"T2";"6307"
"1955-06";"S2";
"1955-06";"RS";
"1955-06";"E";"2346949"
"1955-07";"K";
"1955-07";"T0";"709"
"1955-07";"S0";
"1955-07";"T1";"0.03020943"
"1955-07";"S1";
"1955-07";"T2";"5749"
"1955-07";"S2";
"1955-07";"RS";
"1955-07";"E";"2346949"
"1955-08";"K";
"1955-08";"T0";"701"
"1955-08";"S0";
"1955-08";"T1";"0.02986857"
"1955-08";"S1";
"1955-08";"T2";"6005"
"1955-08";"S2";
"1955-08";"RS";
"1955-08";"E";"2346949"
"1955-09";"K";
"1955-09";"T0";"863"
"1955-09";"S0";
"1955-09";"T1";"0.03677114"
"1955-09";"S1";
"1955-09";"T2";"6115"
"1955-09";"S2";
"1955-09";"RS";
"1955-09";"E";"2346949"
"1955-10";"K";
"1955-10";"T0";"1081"
"1955-10";"S0";
"1955-10";"T1";"0.0460598"
"1955-10";"S1";
"1955-10";"T2";"5453"
"1955-10";"S2";
"1955-10";"RS";
"1955-10";"E";"2346949"
"1955-11";"K";
"1955-11";"T0";"2004"
"1955-11";"S0";
"1955-11";"T1";"0.08538745"
"1955-11";"S1";
"1955-11";"T2";"4687"
"1955-11";"S2";
"1955-11";"RS";
"1955-11";"E";"2346949"
"1955-12";"K";
"1955-12";"T0";"3337"
"1955-12";"S0";
"1955-12";"T1";"0.1421846"
"1955-12";"S1";
"1955-12";"T2";"4700"
"1955-12";"S2";
"1955-12";"RS";
"1955-12";"E";"2346949"
"1956-01";"K";
"1956-01";"T0";"5233"
"1956-01";"S0";
"1956-01";"T1";"0.22297033"
"1956-01";"S1";
"1956-01";"T2";"5940"
"1956-01";"S2";
"1956-01";"RS";
"1956-01";"E";"2346949"
"1956-02";"K";
"1956-02";"T0";"18572"
"1956-02";"S0";
"1956-02";"T1";"0.79132525"
"1956-02";"S1";
"1956-02";"T2";"5654"
"1956-02";"S2";
"1956-02";"RS";
"1956-02";"E";"2346949"
"1956-03";"K";
"1956-03";"T0";"1900"
"1956-03";"S0";
"1956-03";"T1";"0.08095617"
"1956-03";"S1";
"1956-03";"T2";"7532"
"1956-03";"S2";
"1956-03";"RS";
"1956-03";"E";"2346949"
"1956-04";"K";
"1956-04";"T0";"1024"
"1956-04";"S0";
"1956-04";"T1";"0.04363111"
"1956-04";"S1";
"1956-04";"T2";"7161"
"1956-04";"S2";
"1956-04";"RS";
"1956-04";"E";"2346949"
"1956-05";"K";
"1956-05";"T0";"681"
"1956-05";"S0";
"1956-05";"T1";"0.0290164"
"1956-05";"S1";
"1956-05";"T2";"6970"
"1956-05";"S2";
"1956-05";"RS";
"1956-05";"E";"2346949"
"1956-06";"K";
"1956-06";"T0";"603"
"1956-06";"S0";
"1956-06";"T1";"0.02569293"
"1956-06";"S1";
"1956-06";"T2";"6740"
"1956-06";"S2";
"1956-06";"RS";
"1956-06";"E";"2346949"
"1956-07";"K";
"1956-07";"T0";"502"
"1956-07";"S0";
"1956-07";"T1";"0.02138947"
"1956-07";"S1";
"1956-07";"T2";"6238"
"1956-07";"S2";
"1956-07";"RS";
"1956-07";"E";"2346949"
"1956-08";"K";
"1956-08";"T0";"648"
"1956-08";"S0";
"1956-08";"T1";"0.02761031"
"1956-08";"S1";
"1956-08";"T2";"6380"
"1956-08";"S2";
"1956-08";"RS";
"1956-08";"E";"2346949"
"1956-09";"K";
"1956-09";"T0";"673"
"1956-09";"S0";
"1956-09";"T1";"0.02867553"
"1956-09";"S1";
"1956-09";"T2";"6185"
"1956-09";"S2";
"1956-09";"RS";
"1956-09";"E";"2346949"
"1956-10";"K";
"1956-10";"T0";"1072"
"1956-10";"S0";
"1956-10";"T1";"0.04567632"
"1956-10";"S1";
"1956-10";"T2";"5515"
"1956-10";"S2";
"1956-10";"RS";
"1956-10";"E";"2346949"
"1956-11";"K";
"1956-11";"T0";"1628"
"1956-11";"S0";
"1956-11";"T1";"0.06936665"
"1956-11";"S1";
"1956-11";"T2";"5014"
"1956-11";"S2";
"1956-11";"RS";
"1956-11";"E";"2346949"
"1956-12";"K";
"1956-12";"T0";"3923"
"1956-12";"S0";
"1956-12";"T1";"0.16715318"
"1956-12";"S1";
"1956-12";"T2";"4946"
"1956-12";"S2";
"1956-12";"RS";
"1956-12";"E";"2346949"
"1957-01";"K";
"1957-01";"T0";"9041"
"1957-01";"S0";
"1957-01";"T1";"0.38522354"
"1957-01";"S1";
"1957-01";"T2";"5742"
"1957-01";"S2";
"1957-01";"RS";
"1957-01";"E";"2346949"
"1957-02";"K";
"1957-02";"T0";"3345"
"1957-02";"S0";
"1957-02";"T1";"0.14252547"
"1957-02";"S1";
"1957-02";"T2";"6335"
"1957-02";"S2";
"1957-02";"RS";
"1957-02";"E";"2346949"
"1957-03";"K";
"1957-03";"T0";"1023"
"1957-03";"S0";
"1957-03";"T1";"0.04358851"
"1957-03";"S1";
"1957-03";"T2";"7789"
"1957-03";"S2";
"1957-03";"RS";
"1957-03";"E";"2346949"
"1957-04";"K";
"1957-04";"T0";"761"
"1957-04";"S0";
"1957-04";"T1";"0.03242508"
"1957-04";"S1";
"1957-04";"T2";"7252"
"1957-04";"S2";
"1957-04";"RS";
"1957-04";"E";"2346949"
"1957-05";"K";
"1957-05";"T0";"615"
"1957-05";"S0";
"1957-05";"T1";"0.02620423"
"1957-05";"S1";
"1957-05";"T2";"6050"
"1957-05";"S2";
"1957-05";"RS";
"1957-05";"E";"2346949"
"1957-06";"K";
"1957-06";"T0";"530"
"1957-06";"S0";
"1957-06";"T1";"0.02258251"
"1957-06";"S1";
"1957-06";"T2";"5485"
"1957-06";"S2";
"1957-06";"RS";
"1957-06";"E";"2346949"
"1957-07";"K";
"1957-07";"T0";"554"
"1957-07";"S0";
"1957-07";"T1";"0.02360511"
"1957-07";"S1";
"1957-07";"T2";"5130"
"1957-07";"S2";
"1957-07";"RS";
"1957-07";"E";"2346949"
"1957-08";"K";
"1957-08";"T0";"575"
"1957-08";"S0";
"1957-08";"T1";"0.02449989"
"1957-08";"S1";
"1957-08";"T2";"5133"
"1957-08";"S2";
"1957-08";"RS";
"1957-08";"E";"2346949"
"1957-09";"K";
"1957-09";"T0";"723"
"1957-09";"S0";
"1957-09";"T1";"0.03080595"
"1957-09";"S1";
"1957-09";"T2";"5062"
"1957-09";"S2";
"1957-09";"RS";
"1957-09";"E";"2346949"
"1957-10";"K";
"1957-10";"T0";"1086"
"1957-10";"S0";
"1957-10";"T1";"0.04627284"
"1957-10";"S1";
"1957-10";"T2";"4455"
"1957-10";"S2";
"1957-10";"RS";
"1957-10";"E";"2346949"
"1957-11";"K";
"1957-11";"T0";"1644"
"1957-11";"S0";
"1957-11";"T1";"0.07004839"
"1957-11";"S1";
"1957-11";"T2";"3904"
"1957-11";"S2";
"1957-11";"RS";
"1957-11";"E";"2346949"
