"CubeId";"zimoma"
"PublishingDate";"2023-04-03 14:30"

"Date";"D0";"Value"
"1973-07";"3M3";
"1973-07";"ESTR";
"1973-07";"EURIBOR";
"1973-07";"3M4";
"1973-08";"SARON";
"1973-08";"1TGT";"1"
"1973-08";"EG3M";
"1973-08";"3M0";
"1973-08";"SOFR";
"1973-08";"3M1";
"1973-08";"TONA";
"1973-08";"3M2";
"1973-08";"SONIA";
"1973-08";"3M3";
"1973-08";"ESTR";
"1973-08";"EURIBOR";
"1973-08";"3M4";
"1973-09";"SARON";
"1973-09";"1TGT";"1"
"1973-09";"EG3M";
"1973-09";"3M0";
"1973-09";"SOFR";
"1973-09";"3M1";
"1973-09";"TONA";
"1973-09";"3M2";
"1973-09";"SONIA";
"1973-09";"3M3";
"1973-09";"ESTR";
"1973-09";"EURIBOR";
"1973-09";"3M4";
"1973-10";"SARON";
"1973-10";"1TGT";"4"
"1973-10";"EG3M";
"1973-10";"3M0";
"1973-10";"SOFR";
"1973-10";"3M1";
"1973-10";"TONA";
"1973-10";"3M2";
"1973-10";"SONIA";
"1973-10";"3M3";
"1973-10";"ESTR";
"1973-10";"EURIBOR";
"1973-10";"3M4";
"1973-11";"SARON";
"1973-11";"1TGT";"8.5"
"1973-11";"EG3M";
"1973-11";"3M0";
"1973-11";"SOFR";
"1973-11";"3M1";
"1973-11";"TONA";
"1973-11";"3M2";
"1973-11";"SONIA";
"1973-11";"3M3";
"1973-11";"ESTR";
"1973-11";"EURIBOR";
"1973-11";"3M4";
"1973-12";"SARON";
"1973-12";"1TGT";"2.5"
"1973-12";"EG3M";
"1973-12";"3M0";
"1973-12";"SOFR";
"1973-12";"3M1";
"1973-12";"TONA";
"1973-12";"3M2";
"1973-12";"SONIA";
"1973-12";"3M3";
"1973-12";"ESTR";
"1973-12";"EURIBOR";
"1973-12";"3M4";
"1974-01";"SARON";
"1974-01";"1TGT";"3.25"
"1974-01";"EG3M";
"1974-01";"3M0";
"1974-01";"SOFR";
"1974-01";"3M1";
"1974-01";"TONA";
"1974-01";"3M2";
"1974-01";"SONIA";
"1974-01";"3M3";
"1974-01";"ESTR";
"1974-01";"EURIBOR";
"1974-01";"3M4";
"1974-02";"SARON";
"1974-02";"1TGT";"5"
"1974-02";"EG3M";
"1974-02";"3M0";
"1974-02";"SOFR";
"1974-02";"3M1";
"1974-02";"TONA";
"1974-02";"3M2";
"1974-02";"SONIA";
"1974-02";"3M3";
"1974-02";"ESTR";
"1974-02";"EURIBOR";
"1974-02";"3M4";
"1974-03";"SARON";
"1974-03";"1TGT";"4"
"1974-03";"EG3M";
"1974-03";"3M0";
"1974-03";"SOFR";
"1974-03";"3M1";
"1974-03";"TONA";
"1974-03";"3M2";
"1974-03";"SONIA";
"1974-03";"3M3";
"1974-03";"ESTR";
"1974-03";"EURIBOR";
"1974-03";"3M4";
"1974-04";"SARON";
"1974-04";"1TGT";"1"
"1974-04";"EG3M";
"1974-04";"3M0";
"1974-04";"SOFR";
"1974-04";"3M1";
"1974-04";"TONA";
"1974-04";"3M2";
"1974-04";"SONIA";
"1974-04";"3M3";
"1974-04";"ESTR";
"1974-04";"EURIBOR";
"1974-04";"3M4";
"1974-05";"SARON";
"1974-05";"1TGT";"4"
"1974-05";"EG3M";
"1974-05";"3M0";
"1974-05";"SOFR";
"1974-05";"3M1";
"1974-05";"TONA";
"1974-05";"3M2";
"1974-05";"SONIA";
"1974-05";"3M3";
"1974-05";"ESTR";
"1974-05";"EURIBOR";
"1974-05";"3M4";
"1974-06";"SARON";
"1974-06";"1TGT";"4"
"1974-06";"EG3M";
"1974-06";"3M0";
"1974-06";"SOFR";
"1974-06";"3M1";
"1974-06";"TONA";
"1974-06";"3M2";
"1974-06";"SONIA";
"1974-06";"3M3";
"1974-06";"ESTR";
"1974-06";"EURIBOR";
"1974-06";"3M4";
"1974-07";"SARON";
"1974-07";"1TGT";"2.5"
"1974-07";"EG3M";
"1974-07";"3M0";
"1974-07";"SOFR";
"1974-07";"3M1";
"1974-07";"TONA";
"1974-07";"3M2";
"1974-07";"SONIA";
"1974-07";"3M3";
"1974-07";"ESTR";
"1974-07";"EURIBOR";
"1974-07";"3M4";
"1974-08";"SARON";
"1974-08";"1TGT";"6"
"1974-08";"EG3M";
"1974-08";"3M0";
"1974-08";"SOFR";
"1974-08";"3M1";
"1974-08";"TONA";
"1974-08";"3M2";
"1974-08";"SONIA";
"1974-08";"3M3";
"1974-08";"ESTR";
"1974-08";"EURIBOR";
"1974-08";"3M4";
"1974-09";"SARON";
"1974-09";"1TGT";"1"
"1974-09";"EG3M";
"1974-09";"3M0";
